artist_id,name,gender,country,styles,playcount
67949,Macaco,undefined,Spain,latin|world,2613036
68227,El Kanka,undefined,Spain,cantautor,541532
68401,Motel,undefined,Spain,pop|rock,1046525
68648,Niña Pastori,female,Spain,latin,909981
68701,Albertucho,undefined,Spain,rock,613458
69087,Eskorbuto,undefined,Spain,punk,1140065
69601,Obrint Pas,undefined,Spain,ska|punk,1134348
69631,Ladilla Rusa,undefined,Spain,comedy,164775
70045,Platero y tú,undefined,Spain,rock,1672751
70913,Manzanita,undefined,Spain,latin|salsa,307543
71247,Astrud,undefined,Spain,pop,1041078
71940,Natalia Jiménez,female,Spain,pop,318646
71949,Rosendo,undefined,Spain,rock,969177
72167,Joe la Reina,undefined,Spain,folk,61599
72333,Sons Of Maria,undefined,Spain,trance,985220
74254,La Quinta Estacion,undefined,Spain,pop|latin,407003
74560,Toteking,undefined,Spain,rap,804562
74964,Malú,female,Spain,pop|latin|romantic,1713234
75163,Sweet California,undefined,Spain,pop,277781
76184,Rosana,undefined,Spain,pop|latin,1557498
76471,Diabulus In Musica,undefined,Spain,metal,847944
77763,Pauline en la Playa,undefined,Spain,pop,427370
77843,Rocío Dúrcal,female,Spain,pop,1691294
79505,Delafé y las flores azules,undefined,Spain,pop,439853
80096,Skalariak,undefined,Spain,ska|punk,1267186
80427,Alejandro de Pinedo,male,Spain,ambient|lounge,754748
80684,Bigott,undefined,Spain,folk,825042
81494,Narsilion,undefined,Spain,neoclassical|medieval,1142030
81617,Soraya Arnelas,female,Spain,pop,311567
82389,Los Rodríguez,undefined,Spain,rock,2188140
83687,Gabinete Caligari,undefined,Spain,rock,328121
84614,Obsidian Kingdom,undefined,Spain,experimental,455823
86879,Pedro Guerra,male,Spain,cantautor|trova|latin,1127368
87204,Cicatriz,undefined,Spain,punk,180313
87206,Los Muertos de Cristo,undefined,Spain,punk,523486
87555,Crisix,undefined,Spain,metal,391505
88180,7 Notas 7 Colores,undefined,Spain,rap,369835
90767,Danny Avila,undefined,Spain,electronic|electronica,491683
90799,Warmth,undefined,Spain,ambient|drone|noise,661742
91070,Bunbury,undefined,Spain,rock,816279
91270,Betagarri,undefined,Spain,ska|punk,409475
91846,Albert Pla,undefined,Spain,cantautor,631204
92465,Aversio Humanitatis,undefined,Spain,metal,56750
93579,Peret,male,Spain,rumba,299202
93582,Sílvia Pérez Cruz,female,Spain,folk|fado|jazz,528613
95701,Café Quijano,undefined,Spain,pop|rock,799583
96303,Sôber,undefined,Spain,metal|rock,728759
98417,12Twelve,undefined,Spain,jazz|experimental,182093
98810,Avalanch,undefined,Spain,metal,1802859
99424,M-Clan,undefined,Spain,rock|pop,1568744
101219,Antonio Banderas,male,Spain,latin|pop,459229
101653,Los Del Río,undefined,Spain,eurodance|world|folk,77759
102518,Vicente Amigo,male,Spain,latin|world,1014918
104439,Mago de Oz,undefined,Spain,metal,23415
106454,Esplendor Geométrico,undefined,Spain,industrial|noise|experimental|electronic,474424
107688,Barón Rojo,undefined,Spain,metal,1019370
107910,Isaac Albéniz,male,Spain,romantic,789188
108069,Fito & Fitipaldis,undefined,Spain,rock|blues,2699244
108073,O'Funk'illo,undefined,Spain,funk|rock,589711
108387,Danza Invisible,undefined,Spain,pop,316580
110093,Grushenka,undefined,Spain,shoegaze|noise,39687
110121,Dab,undefined,Spain,ambient|lounge|downtempo,874464
112191,Nicki Minaj & Mike Will Made-It,undefined,Spain,rap,47156
114006,Silvania,undefined,Spain,shoegaze,92783
114074,Quique Gonzalez,undefined,Spain,cantautor|pop,1787
114298,Culture Kultür,undefined,Spain,futurepop|ebm|synthpop|electronic|industrial,646697
115064,ZA!,undefined,Spain,experimental|noise,114557
116232,José Luis Perales,male,Spain,pop|latin,1064297
116311,José Padilla,undefined,Spain,lounge|downtempo|ambient,1514957
117226,amatria,undefined,Spain,electronic,218642
118939,Sólo Los Solo,undefined,Spain,rap,216213
118942,Tote King,male,Spain,rap,447601
118988,Buika,undefined,Spain,jazz,1256204
122123,Skizoo,undefined,Spain,metal,515297
122339,The Locos,undefined,Spain,ska,902162
122568,Beauty Brain,undefined,Spain,dubstep|electronic,98640
124817,DJ Sammy & Yanou,undefined,Spain,trance|pop|electronica,376062
125300,Boikot,undefined,Spain,punk|ska,1519749
131625,Ordo Funebris,undefined,Spain,medieval|neofolk|neoclassical,355371
134872,Álex Ubago,male,Spain,pop|romantic,150639
134992,Los Chichos,undefined,Spain,rumba,357528
137347,David Bustamante,male,Spain,latin|pop,530962
137519,Merche,female,Spain,pop|latin,673524
138279,Daniel Diges,male,Spain,pop,110999
140205,Huecco,male,Spain,latin|rock,675340
143636,Celtas Cortos,undefined,Spain,celtic|rock,1305606
143637,Los Suaves,undefined,Spain,rock,1121361
143638,Antonio Flores,male,Spain,pop|rock|cantautor,526021
143639,Siniestro Total,undefined,Spain,punk|rock,1450547
143644,Leño,undefined,Spain,rock,412428
145196,Montserrat Caballé,female,Spain,opera,294242
146388,Día Sexto,undefined,Spain,rap,98926
146408,Kramp,undefined,Spain,rock,120281
146913,Los Enemigos,undefined,Spain,rock,473185
146914,Enrique Morente,male,Spain,world,640192
147545,Loquillo,undefined,Spain,rock,638932
151031,Los Secretos,undefined,Spain,pop,1102655
152242,Porretas,undefined,Spain,rock,610005
152246,Reincidentes,undefined,Spain,rock|punk,1649995
158211,Black Devil,undefined,Spain,electronic,173456
163292,Un Pingüino En Mi Ascensor,undefined,Spain,pop|synthpop,82025
166895,Los Brincos,undefined,Spain,rock|pop,199955
168581,Ô Paradis,undefined,Spain,neofolk|experimental,362779
172461,The Unfinished Sympathy,undefined,Spain,rock,354157
180277,Frenzy,undefined,Spain,psychobilly|rockabilly,296801
